,Millet Partisi,Hak ve Özgürlükler Partisi,Türkiye Komünist Partisi,Türkiye Komünist Hareketi,Sol Parti,Genç Parti,Memleket Partisi,Büyük Birlik Partisi,Adalet ve Kalkinma Partisi,Yeniden Refah Partisi,Milliyetçi Hareket Partisi,Yeşiller ve Sol Gelecek Partisi,Türkiye İşçi Partisi,Adalet Birlik Partisi,Anavatan Partisi,Yenilik Partisi,Halkin Kurtuluş Partisi,Milli Yol Partisi,Vatan Partisi,Güç Birliği Partisi,Cumhuriyet Halk Partisi,İyi Parti,Adalet Partisi,Zafer Partisi,Bağimsizlar,Toplam Oy,Milletvekili Sayisi
Bitlis,184,319,293,112,1023,239,1095,592,67037,3737,6880,71418,172,475,305,123,159,1,146,195,1410,23126,317,58,0,179416,3
Bolu,212,202,198,60,163,557,2160,1648,80727,7026,50726,2446,1358,374,701,58,149,96,196,129,47723,16195,834,4154,0,218092,3
Burdur,238,244,182,63,118,356,1404,1281,67690,2249,25933,1718,178,448,359,58,164,1,253,169,57438,21049,803,2656,0,185052,3
Bursa_1,1339,702,908,247,878,4321,15592,9260,405880,35061,90922,37323,15715,1097,1836,183,551,314,1660,18,306486,153262,3194,42569,716,1130034,10
Bursa_2,1298,676,1226,316,1105,2865,13240,7183,444626,42060,96855,60021,1007,1532,1853,226,650,5,1139,17,224468,105922,3069,36540,346,1048245,10
Çanakkale,412,449,577,156,273,1204,4221,1774,129674,3965,26775,8845,5224,642,894,89,330,126,466,445,142548,65927,1318,8040,0,404374,4
Çankiri,152,181,83,34,127,167,606,1285,54025,3801,39385,789,420,6,279,95,85,78,150,2,1001,22392,350,1947,0,127440,2
Çorum,448,497,307,95,163,475,2063,2839,147473,11970,73737,2646,1625,16,713,104,257,187,669,6,112593,433,1394,5554,0,366264,4
Denizli,1041,628,543,203,659,2841,10091,10455,249278,9947,62060,19186,7881,33,20,272,490,4,1060,637,233993,103121,47,18741,267,733498,7
Diyarbakir,523,1814,1047,357,5285,909,4086,2096,215076,14395,13739,564336,891,41,26,1153,631,368,616,739,76301,21112,60,302,1604,927507,12
Düzce,394,248,236,75,138,779,3029,2468,136054,10517,44273,3459,1418,394,856,68,214,138,317,150,62129,325,1003,5874,171,274727,3
Edirne,372,378,272,111,433,1603,2580,710,69383,1995,22515,5972,3227,313,533,91,351,287,507,5,114665,59583,736,4350,212,291184,4
Elazig,157,346,217,104,523,190,885,1467,148896,13325,42286,26290,354,16,719,67,225,111,468,6,76367,8868,24,2072,44700,368683,5
Erzincan,63,77,47,28,82,77,472,578,60389,2262,30669,2076,518,7,312,15,67,1,81,98,56111,185,334,1530,275,156354,2
Erzurum,314,384,393,131,852,16,2268,7676,192248,21822,73952,43931,427,728,12,110,298,275,318,7,31227,42143,1030,10469,13168,444199,6
Eskisehir,850,357,743,139,435,2004,8064,6963,210655,9049,46453,14141,10550,28,18,119,295,218,582,428,216405,87764,41,18829,348,635478,6
Gaziantep,1573,838,1341,360,1916,42,8772,8094,525985,47809,113801,106870,1126,1613,2113,410,563,782,682,814,238440,63401,2590,38008,4302,1172245,14
Giresun,327,575,325,90,197,11,2483,1822,133761,7628,48431,1750,1613,14,9,49,320,158,315,166,64115,39428,1465,4754,383,310189,4
Gümüşhane,109,74,48,28,56,3,427,665,38347,2154,21221,502,287,117,201,25,54,73,44,57,635,14699,145,892,23,80886,2
Hakkari,146,218,131,70,939,6,1170,473,31645,3020,4591,95810,148,7,325,61,145,1,137,160,11125,182,360,50,2890,153810,3
